src/com/sist/main3/GenieMusicSystem.java:3:	UnnecessaryImport:	UnnecessaryImport: Unused import 'java.io.IOException'
src/com/sist/main3/GenieMusicSystem.java:106:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/com/sist/main3/GenieMusicSystem.java:106:	EmptyCatchBlock:	EmptyCatchBlock: Avoid empty catch blocks
src/com/sist/main3/GenieMusicSystem.java:110:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/com/sist/main3/GenieMusicSystem.java:112:	MethodReturnsInternalArray:	MethodReturnsInternalArray: Returning 'musics' may expose an internal array.
src/com/sist/main3/GenieMusicSystem.java:115:	CognitiveComplexity:	CognitiveComplexity: The method 'musicFind(String, int)' has a cognitive complexity of 16, current threshold is 15
src/com/sist/main3/GenieMusicSystem.java:115:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/com/sist/main3/GenieMusicSystem.java:115:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'fd' is not assigned and could be declared final
src/com/sist/main3/GenieMusicSystem.java:115:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'type' is not assigned and could be declared final
src/com/sist/main3/GenieMusicSystem.java:115:	ShortVariable:	ShortVariable: Avoid variables with short names like fd
src/com/sist/main3/GenieMusicSystem.java:117:	ShortVariable:	ShortVariable: Avoid variables with short names like i
src/com/sist/main3/GenieMusicSystem.java:118:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'm' could be declared final
src/com/sist/main3/GenieMusicSystem.java:120:	UnusedAssignment:	UnusedAssignment: The initializer for variable 'bCheck' is never used (overwritten on lines 123 and 129)
src/com/sist/main3/GenieMusicSystem.java:121:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/com/sist/main3/GenieMusicSystem.java:124:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/com/sist/main3/GenieMusicSystem.java:125:	ControlStatementBraces:	ControlStatementBraces: This statement should have braces
src/com/sist/main3/GenieMusicSystem.java:130:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/com/sist/main3/GenieMusicSystem.java:131:	ControlStatementBraces:	ControlStatementBraces: This statement should have braces
src/com/sist/main3/GenieMusicSystem.java:135:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/com/sist/main3/GenieMusicSystem.java:136:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'mm' could be declared final
src/com/sist/main3/GenieMusicSystem.java:136:	ShortVariable:	ShortVariable: Avoid variables with short names like mm
src/com/sist/main3/GenieMusicSystem.java:143:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'm' could be declared final
src/com/sist/main3/GenieMusicSystem.java:145:	UnusedAssignment:	UnusedAssignment: The initializer for variable 'bCheck' is never used (overwritten on lines 148 and 153)
src/com/sist/main3/GenieMusicSystem.java:146:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/com/sist/main3/GenieMusicSystem.java:157:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/com/sist/main3/GenieMusicSystem.java:172:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/com/sist/main3/GenieMusicSystem.java:173:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'g' could be declared final
src/com/sist/main3/GenieMusicSystem.java:173:	ShortVariable:	ShortVariable: Avoid variables with short names like g
src/com/sist/main3/GenieMusicSystem.java:174:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'aa' could be declared final
src/com/sist/main3/GenieMusicSystem.java:174:	ShortVariable:	ShortVariable: Avoid variables with short names like aa
src/com/sist/main3/GenieMusicSystem.java:175:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'a' could be declared final
src/com/sist/main3/GenieMusicSystem.java:177:	SystemPrintln:	SystemPrintln: Usage of System.out/err
